name;sex;bithyear;grade;class
TEXT;TEXT;INT;INT;TEXT
Alex Johnson;M;2001;3;A
Bailey Smith;F;2000;2;B
Chris Lee;M;2003;5;E
Dana White;F;2002;4;D
Evan Brown;M;2003;5;C
Fiona Davis;F;2001;3;B
George Miller;M;2002;4;A
Harper Wilson;F;2000;2;D
Ivan Moore;M;2001;3;E
Jade Taylor;F;2003;5;B
Kyle Anderson;M;2002;4;C
Liam Thomas;M;2000;2;A
Mia Jackson;F;2001;3;D
Noah Martin;M;2002;4;E
Olivia Garcia;F;2000;2;B
Peyton Rodriguez;F;2003;5;C
Quinn Hernandez;D;2001;1;E
Riley Martinez;M;2003;5;A
Sofia Gonzalez;F;2002;4;D
Tyler Clark;M;2001;3;B
Uma Patel;F;2000;2;E
Victor Kim;M;2003;5;D
Wendy Lewis;F;2002;4;C
Xavier Young;M;2001;3;B
Yara Allen;F;2003;5;A
Zane Walker;M;2002;4;A
Zoe Price;F;2000;2;C
Aaron Scott;M;2001;3;D
Brielle Nguyen;F;2003;5;E
Carter Morris;M;2002;4;B
Danielle Ortiz;F;2001;3;A
Elijah Rivera;M;2000;2;C
Faith Sanchez;F;2002;4;D
Gavin Perry;M;2003;5;A
Haley Brooks;F;2001;3;B
Isaac Hall;M;2002;4;E
Jenna Ward;F;2000;2;C
Kai Turner;M;2003;5;D
Lena Phillips;F;2002;4;A
Mason Campbell;M;2001;3;E
Natalie Parker;F;2003;5;B
Oscar Evans;M;2002;4;C
Paige Collins;F;2000;2;D
Quentin Stewart;M;2001;3;A
Ruby Mitchell;F;2002;4;E
Sean Carter;M;2003;5;B
Tina Foster;F;2001;3;C
Uriel Jenkins;M;2000;2;D
Violet Simmons;F;2002;4;A
Wesley Ross;M;2001;3;E
Xena Barnes;F;2003;5;C
Yosef Reynolds;M;2002;4;B
Zara Alexander;F;2000;2;D
Alan Cooper;M;2002;4;A
Brittany Fisher;F;2003;5;E
Charlie Gordon;M;2001;3;D
Daisy Hughes;F;2000;2;B
Ethan Kelly;M;2003;5;C
Fiona Lane;F;2002;4;D
Grant Meyer;M;2001;3;B
Hannah Norton;F;2000;2;A
Ian Owens;M;2002;4;E
Julia Peterson;F;2003;5;B
Kevin Quinn;M;2001;3;C
Lily Rivera;F;2002;4;D
Maxwell Stevens;M;2000;2;A
Nora Tanner;F;2001;3;E
Oliver Upton;M;2003;5;D
Penelope Vaughn;F;2002;4;B
Quincy Wallace;M;2001;3;A
Rachel Xavier;F;2000;2;C
Steven Young;M;2002;4;E
Tracy Ziegler;F;2003;5;B
Umar Abdullah;M;2001;3;D
Vanessa Blake;F;2002;4;A
William Carter;M;2000;2;C
Xiomara Diaz;F;2003;5;E
Yasmin Ellison;F;2001;3;B
Zack Fletcher;M;2002;4;D
Amelia Gray;F;2000;2;A
Benjamin Harper;M;2003;5;C
Cassandra Irving;F;2002;4;B
Derek Johnson;M;2001;3;E
Ella Kingston;F;2003;5;D
Franklin Lloyd;M;2002;4;A
Georgia Mason;F;2000;2;B
Henry Nelson;M;2001;3;C
Isabelle O'Connor;F;2002;4;E
Jacob Palmer;M;2003;5;B
Kylie Quinn;F;2001;3;A
Landon Reed;M;2000;2;D
Megan Silva;F;2002;4;C
Nolan Thompson;M;2003;5;E
Olivia Uribe;F;2001;3;D
Patrick Vega;M;2002;4;B
Quinn Watson;F;2000;2;A
Riley Xavier;M;2003;5;C
Sophia Yates;F;2002;4;D
Tyler Zimmerman;M;2001;3;B
Ursula Adams;F;2000;2;E
Vincent Brown;M;2003;5;A
Wendy Charles;F;2002;4;B
Xander Davis;M;2001;3;C
Yolanda Edwards;F;2003;5;D
Zane Foster;M;2002;4;E
Alan Cooper;M;2003;5;D
Brittany Fisher;F;2002;4;A
Charles Green;M;2001;3;B
Diane Hughes;F;2000;2;C
Ethan Murphy;M;2002;4;E
Fiona Price;F;2003;5;A
Gregory Reed;M;2001;3;D
Hannah Bell;F;2000;2;B
Isaiah Howard;M;2002;4;C
Jasmine Morgan;F;2001;3;E
Kevin Ward;M;2003;5;B
Lauren Cook;F;2002;4;D
Michael Bailey;M;2001;3;A
Natalia Rivera;F;2000;2;C
Owen Zimmerman;M;2002;4;E
Piper Gibson;F;2003;5;D
Quincy Adams;M;2001;3;B
Rachel Johnson;F;2002;4;A
Steven King;M;2000;2;C
Tiffany Marsh;F;2001;3;D
Umar Khan;M;2003;5;E
Vanessa Long;F;2002;4;B
William Carter;M;2001;3;A
Xiomara Cruz;F;2000;2;D
Yusuf Shah;M;2002;4;C
Zelda Foster;F;2003;5;B
Amelia Pond;F;2001;3;E
